AhcpCdbEntryComputeChecksum,,,,, , 
CcTestControl,,,,, , 
FsRtlSyncVolumes,,,,, , 
NtLockRegistryKey,0x0066,0x0066,0x0066,0x0066,0x00a1,0x00a1
NtLockVirtualMemory,0x0067,0x0067,0x0067,0x0067,0x00a2,0x00a2
NtMakePermanentObject,0x0068,0x0068,0x0068,0x0068,0x00a3,0x00a3
NtMakeTemporaryObject,0x0069,0x0069,0x0069,0x0069,0x00a4,0x00a4
NtMapCMFModule,,,,,0x00a5,0x00a5
NtMapUserPhysicalPages,0x006a,0x006a,0x006a,0x006a,0x00a6,0x00a6
NtMapUserPhysicalPagesScatter,0x006b,0x006b,0x006b,0x006b,0x00a7,0x00a7
NtMapViewOfSection,0x006c,0x006c,0x006c,0x006c,0x00a8,0x00a8
NtMarshallTransaction,,,,, , 
NtModifyBootEntry,0x006d,0x006d,0x006d,0x0015,0x00a9,0x00a9
NtModifyDriverEntry,,,,,0x00aa,0x00aa
NtNotifyChangeDirectoryFile,0x006e,0x006e,0x006e,0x006e,0x00ab,0x00ab
NtNotifyChangeKey,0x006f,0x006f,0x006f,0x006f,0x00ac,0x00ac
NtNotifyChangeMultipleKeys,0x0070,0x0070,0x0070,0x0070,0x00ad,0x00ad
NtNotifyChangeSession,,,,,0x00ae,0x00ae
NtOpenChannel,,,,, , 
NtOpenDirectoryObject,0x0071,0x0071,0x0071,0x0071,0x00af,0x00af
NtOpenEnlistment,,,,,0x00b0,0x00b0
NtOpenEvent,0x0072,0x0072,0x0072,0x0072,0x00b1,0x00b1
NtOpenEventPair,0x0073,0x0073,0x0073,0x0073,0x00b2,0x00b2
NtOpenFile,0x0074,0x0074,0x0074,0x0074,0x00b3,0x00b3
NtOpenIoCompletion,0x0075,0x0075,0x0075,0x0075,0x00b4,0x00b4
NtOpenJobObject,0x0076,0x0076,0x0076,0x0076,0x00b5,0x00b5
NtOpenKey,0x0077,0x0077,0x0077,0x0077,0x00b6,0x00b6
NtOpenKeyEx,,,,,0x00b7,0x00b7
NtOpenKeyTransacted,,,,,0x00b9,0x00b9
NtOpenKeyTransactedEx,,,,,0x00ba,0x00ba
NtOpenKeyedEvent,0x0118,0x0118,0x0118,0x0118,0x00b8,0x00b8
NtOpenMutant,0x0078,0x0078,0x0078,0x0078,0x00bb,0x00bb
NtOpenObjectAuditAlarm,0x0079,0x0079,0x0079,0x0079,0x00bc,0x00bc
NtOpenPrivateNamespace,,,,,0x00bd,0x00bd
NtOpenProcess,0x007a,0x007a,0x007a,0x007a,0x00be,0x00be
NtOpenProcessToken,0x007b,0x007b,0x007b,0x007b,0x00bf,0x00bf
NtOpenProcessTokenEx,0x007c,0x007c,0x007c,0x007c,0x00c0,0x00c0
NtOpenResourceManager,,,,,0x00c1,0x00c1
NtOpenSection,0x007d,0x007d,0x007d,0x007d,0x00c2,0x00c2
NtOpenSemaphore,0x007e,0x007e,0x007e,0x007e,0x00c3,0x00c3
NtOpenSession,,,,,0x00c4,0x00c4
NtOpenSymbolicLinkObject,0x007f,0x007f,0x007f,0x007f,0x00c5,0x00c5
NtOpenThread,0x0080,0x0080,0x0080,0x0080,0x00c6,0x00c6
NtOpenThreadToken,0x0081,0x0081,0x0081,0x0081,0x00c7,0x00c7
NtOpenThreadTokenEx,0x0082,0x0082,0x0082,0x0082,0x00c8,0x00c8
NtOpenTimer,0x0083,0x0083,0x0083,0x0083,0x00c9,0x00c9
NtOpenTransaction,,,,,0x00ca,0x00ca
NtOpenTransactionManager,,,,,0x00cb,0x00cb
NtOpenWinStation,,,,, , 
NtPlugPlayControl,0x0084,0x0084,0x0084,0x0084,0x00cc,0x00cc
NtPowerInformation,0x0085,0x0085,0x0085,0x0085,0x00cd,0x00cd
NtPrePrepareComplete,,,,,0x00d0,0x00d0
NtPrePrepareEnlistment,,,,,0x00d1,0x00d1
NtPrefetchVirtualMemory,,,,, , 
NtPrepareComplete,,,,,0x00ce,0x00ce
NtPrepareEnlistment,,,,,0x00cf,0x00cf
NtPrivilegeCheck,0x0086,0x0086,0x0086,0x0086,0x00d2,0x00d2
NtPrivilegeObjectAuditAlarm,0x0087,0x0087,0x0087,0x0087,0x00d4,0x00d4
NtPrivilegedServiceAuditAlarm,0x0088,0x0088,0x0088,0x0088,0x00d3,0x00d3
NtPropagationComplete,,,,,0x00d5,0x00d5
NtPropagationFailed,,,,,0x00d6,0x00d6
NtProtectVirtualMemory,0x0089,0x0089,0x0089,0x0089,0x00d7,0x00d7
NtPullTransaction,,,,, , 
NtPulseEvent,0x008a,0x008a,0x008a,0x008a,0x00d8,0x00d8
NtQueryAttributesFile,0x008b,0x008b,0x008b,0x008b,0x00d9,0x00d9
NtQueryBootEntryOrder,0x008c,0x008c,0x008c,,0x00da,0x00da
NtQueryBootOptions,0x008d,0x008d,0x008d,,0x00db,0x00db
NtQueryDebugFilterState,0x008e,0x008e,0x008e,0x008e,0x00dc,0x00dc
NtQueryDefaultLocale,0x008f,0x008f,0x008f,0x008f,0x00dd,0x00dd
NtQueryDefaultUILanguage,0x0090,0x0090,0x0090,0x0090,0x00de,0x00de
NtQueryDirectoryFile,0x0091,0x0091,0x0091,0x0091,0x00df,0x00df
NtQueryDirectoryObject,0x0092,0x0092,0x0092,0x0092,0x00e0,0x00e0
NtQueryDriverEntryOrder,,,,,0x00e1,0x00e1
NtQueryEaFile,0x0093,0x0093,0x0093,0x0093,0x00e2,0x00e2
NtQueryEvent,0x0094,0x0094,0x0094,0x0094,0x00e3,0x00e3
NtQueryFullAttributesFile,0x0095,0x0095,0x0095,0x0095,0x00e4,0x00e4
NtQueryInformationAtom,0x0096,0x0096,0x0096,0x0096,0x00e5,0x00e5
NtQueryInformationEnlistment,,,,,0x00e6,0x00e6
NtQueryInformationFile,0x0097,0x0097,0x0097,0x0097,0x00e7,0x00e7
NtQueryInformationJobObject,0x0098,0x0098,0x0098,0x0098,0x00e8,0x00e8
NtQueryInformationPort,0x0099,0x0099,0x0099,0x0099,0x00e9,0x00e9
NtQueryInformationProcess,0x009a,0x009a,0x009a,0x009a,0x00ea,0x00ea
NtQueryInformationResourceManager,,,,,0x00eb,0x00eb
NtQueryInformationThread,0x009b,0x009b,0x009b,0x009b,0x00ec,0x00ec
NtQueryInformationToken,0x009c,0x009c,0x009c,0x009c,0x00ed,0x00ed
NtQueryInformationTransaction,,,,,0x00ee,0x00ee
NtQueryInformationTransactionManager,,,,,0x00ef,0x00ef
NtQueryInformationWorkerFactory,,,,,0x00f0,0x00f0
NtQueryInstallUILanguage,0x009d,0x009d,0x009d,0x009d,0x00f1,0x00f1
NtQueryIntervalProfile,0x009e,0x009e,0x009e,0x009e,0x00f2,0x00f2
NtQueryIoCompletion,0x009f,0x009f,0x009f,0x009f,0x00f3,0x00f3
NtQueryKey,0x00a0,0x00a0,0x00a0,0x00a0,0x00f4,0x00f4
NtQueryLicenseValue,,,,,0x00f5,0x00f5
NtQueryMultipleValueKey,0x00a1,0x00a1,0x00a1,0x00a1,0x00f6,0x00f6
NtQueryMutant,0x00a2,0x00a2,0x00a2,0x00a2,0x00f7,0x00f7
NtQueryObject,0x00a3,0x00a3,0x00a3,0x00a3,0x00f8,0x00f8
NtQueryOleDirectoryFile,,,,, , 
NtQueryOpenSubKeys,0x00a4,0x00a4,0x00a4,0x00a4,0x00f9,0x00f9
NtQueryOpenSubKeysEx,,,,,0x00fa,0x00fa
NtQueryPerformanceCounter,0x00a5,0x00a5,0x00a5,0x00a5,0x00fb,0x00fb
NtQueryPortInformationProcess,0x011b,0x011b,0x011b,0x011b,0x00fc,0x00fc
NtQueryQuotaInformationFile,0x00a6,0x00a6,0x00a6,0x00a6,0x00fd,0x00fd
NtQuerySection,0x00a7,0x00a7,0x00a7,0x00a7,0x00fe,0x00fe
NtQuerySecurityAttributesToken,,,,,0x00ff,0x00ff
NtQuerySecurityObject,0x00a8,0x00a8,0x00a8,0x00a8,0x0100,0x0100
NtQuerySemaphore,0x00a9,0x00a9,0x00a9,0x00a9,0x0101,0x0101
NtQuerySymbolicLinkObject,0x00aa,0x00aa,0x00aa,0x00aa,0x0102,0x0102
NtQuerySystemEnvironmentValue,0x00ab,0x00ab,0x00ab,0x00ab,0x0103,0x0103
NtQuerySystemEnvironmentValueEx,0x00ac,0x00ac,0x00ac,0x00ac,0x0104,0x0104
NtQuerySystemInformation,0x00ad,0x00ad,0x00ad,0x00ad,0x0105,0x0105
NtQuerySystemInformationEx,,,,,0x0106,0x0106
NtQuerySystemTime,0x00ae,0x00ae,0x00ae,0x00ae,0x0107,0x0107
NtQueryTimer,0x00af,0x00af,0x00af,0x00af,0x0108,0x0108
NtQueryTimerResolution,0x00b0,0x00b0,0x00b0,0x00b0,0x0109,0x0109
NtQueryValueKey,0x00b1,0x00b1,0x00b1,0x00b1,0x010a,0x010a
NtQueryVirtualMemory,0x00b2,0x00b2,0x00b2,0x00b2,0x010b,0x010b
NtQueryVolumeInformationFile,0x00b3,0x00b3,0x00b3,0x00b3,0x010c,0x010c
NtQueryWinStationInformation,,,,, , 
NtQueryWnfStateData,,,,, , 
NtQueryWnfStateNameInformation,,,,, , 
NtQueueApcThread,0x00b4,0x00b4,0x00b4,0x00b4,0x010d,0x010d
NtQueueApcThreadEx,,,,,0x010e,0x010e
NtRaiseException,0x00b5,0x00b5,0x00b5,0x00b5,0x010f,0x010f
NtRaiseHardError,0x00b6,0x00b6,0x00b6,0x00b6,0x0110,0x0110
NtReadFile,0x00b7,0x00b7,0x00b7,0x00b7,0x0111,0x0111
NtReadFileScatter,0x00b8,0x00b8,0x00b8,0x00b8,0x0112,0x0112
NtReadOnlyEnlistment,,,,,0x0113,0x0113
NtReadRequestData,0x00b9,0x00b9,0x00b9,0x00b9,0x0114,0x0114
NtReadVirtualMemory,0x00ba,0x00ba,0x00ba,0x00ba,0x0115,0x0115
NtRecoverEnlistment,,,,,0x0116,0x0116
NtRecoverResourceManager,,,,,0x0117,0x0117
NtRecoverTransactionManager,,,,,0x0118,0x0118
NtRegisterProtocolAddressInformation,,,,,0x0119,0x0119
NtRegisterThreadTerminatePort,0x00bb,0x00bb,0x00bb,0x00bb,0x011a,0x011a
NtReleaseCMFViewOwnership,,,,, , 
NtReleaseKeyedEvent,0x0119,0x0119,0x0119,0x0119,0x011b,0x011b
NtReleaseMutant,0x00bc,0x00bc,0x00bc,0x00bc,0x011c,0x011c
NtReleaseSemaphore,0x00bd,0x00bd,0x00bd,0x00bd,0x011d,0x011d
NtReleaseWorkerFactoryWorker,,,,,0x011e,0x011e
NtRemoveIoCompletion,0x00be,0x00be,0x00be,0x00be,0x011f,0x011f
NtRemoveIoCompletionEx,,,,,0x0120,0x0120
NtRemoveProcessDebug,0x00bf,0x00bf,0x00bf,0x00bf,0x0121,0x0121
NtRenameKey,0x00c0,0x00c0,0x00c0,0x00c0,0x0122,0x0122
NtRenameTransactionManager,,,,,0x0123,0x0123
NtReplaceKey,0x00c1,0x00c1,0x00c1,0x00c1,0x0124,0x0124
NtReplacePartitionUnit,,,,,0x0125,0x0125
NtReplyPort,0x00c2,0x00c2,0x00c2,0x00c2,0x0126,0x0126
NtReplyWaitReceivePort,0x00c3,0x00c3,0x00c3,0x00c3,0x0127,0x0127
NtReplyWaitReceivePortEx,0x00c4,0x00c4,0x00c4,0x00c4,0x0128,0x0128
NtReplyWaitReplyPort,0x00c5,0x00c5,0x00c5,0x00c5,0x0129,0x0129
NtReplyWaitSendChannel,,,,, , 
NtRequestDeviceWakeup,0x00c6,0x00c6,0x00c6,0x00c6, , 
NtRequestPort,0x00c7,0x00c7,0x00c7,0x00c7,0x012a,0x012a
NtRequestWaitReplyPort,0x00c8,0x00c8,0x00c8,0x00c8,0x012b,0x012b
NtRequestWakeupLatency,0x00c9,0x00c9,0x00c9,0x00c9, , 
NtResetEvent,0x00ca,0x00ca,0x00ca,0x00ca,0x012c,0x012c
NtResetWriteWatch,0x00cb,0x00cb,0x00cb,0x00cb,0x012d,0x012d
NtRestoreKey,0x00cc,0x00cc,0x00cc,0x00cc,0x012e,0x012e
NtResumeProcess,0x00cd,0x00cd,0x00cd,0x00cd,0x012f,0x012f
NtResumeThread,0x00ce,0x00ce,0x00ce,0x00ce,0x0130,0x0130
NtRollbackComplete,,,,,0x0131,0x0131
NtRollbackEnlistment,,,,,0x0132,0x0132
NtRollbackTransaction,,,,,0x0133,0x0133
NtRollforwardTransactionManager,,,,,0x0134,0x0134
NtSaveKey,0x00cf,0x00cf,0x00cf,0x00cf,0x0135,0x0135
NtSaveKeyEx,0x00d0,0x00d0,0x00d0,0x00d0,0x0136,0x0136
NtSaveMergedKeys,0x00d1,0x00d1,0x00d1,0x00d1,0x0137,0x0137
NtSavepointComplete,,,,, , 
NtSecureConnectPort,0x00d2,0x00d2,0x00d2,0x00d2,0x0138,0x0138
NtSendWaitReplyChannel,,,,, , 
NtSerializeBoot,,,,,0x0139,0x0139
NtSetBootEntryOrder,0x00d3,0x00d3,0x00d3,,0x013a,0x013a
NtSetBootOptions,0x00d4,0x00d4,0x00d4,,0x013b,0x013b
NtSetContextChannel,,,,, , 
NtSetContextThread,0x00d5,0x00d5,0x00d5,0x00d5,0x013c,0x013c
NtSetDebugFilterState,0x00d6,0x00d6,0x00d6,0x00d6,0x013d,0x013d
NtSetDefaultHardErrorPort,0x00d7,0x00d7,0x00d7,0x00d7,0x013e,0x013e
NtSetDefaultLocale,0x00d8,0x00d8,0x00d8,0x00d8,0x013f,0x013f
NtSetDefaultUILanguage,0x00d9,0x00d9,0x00d9,0x00d9,0x0140,0x0140
NtSetDriverEntryOrder,,,,,0x0141,0x0141
NtSetEaFile,0x00da,0x00da,0x00da,0x00da,0x0142,0x0142
NtSetEvent,0x00db,0x00db,0x00db,0x00db,0x0143,0x0143
NtSetEventBoostPriority,0x00dc,0x00dc,0x00dc,0x00dc,0x0144,0x0144
NtSetHighEventPair,0x00dd,0x00dd,0x00dd,0x00dd,0x0145,0x0145
NtSetHighWaitLowEventPair,0x00de,0x00de,0x00de,0x00de,0x0146,0x0146
NtSetHighWaitLowThread,,,,, , 
NtSetInformationDebugObject,0x00df,0x00df,0x00df,0x00df,0x0147,0x0147
NtSetInformationEnlistment,,,,,0x0148,0x0148
NtSetInformationFile,0x00e0,0x00e0,0x00e0,0x00e0,0x0149,0x0149
NtSetInformationJobObject,0x00e1,0x00e1,0x00e1,0x00e1,0x014a,0x014a
NtSetInformationKey,0x00e2,0x00e2,0x00e2,0x00e2,0x014b,0x014b
NtSetInformationObject,0x00e3,0x00e3,0x00e3,0x00e3,0x014c,0x014c
NtSetInformationProcess,0x00e4,0x00e4,0x00e4,0x00e4,0x014d,0x014d
NtSetInformationResourceManager,,,,,0x014e,0x014e
NtSetInformationThread,0x00e5,0x00e5,0x00e5,0x00e5,0x014f,0x014f
NtSetInformationToken,0x00e6,0x00e6,0x00e6,0x00e6,0x0150,0x0150
NtSetInformationTransaction,,,,,0x0151,0x0151
